Feature\Product;0;1;2;3;
ENABLE_FEATURE_VI_SETOPTS;-;X;-;-;
ENABLE_FEATURE_FIND_REGEX;-;X;-;-;
ENABLE_FEATURE_MOUNT_FAKE;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_OCFS2;-;X;-;-;
ENABLE_FEATURE_IFUPDOWN_IPV4;-;X;-;-;
ENABLE_FEATURE_CROND_CALL_SENDMAIL;-;X;-;-;
ENABLE_FEATURE_HDPARM_HDIO_DRIVE_RESET;-;X;-;-;
ENABLE_LOCALE_SUPPORT;-;X;-;-;
ENABLE_FEATURE_XARGS_SUPPORT_QUOTES;-;X;-;-;
ENABLE_FEATURE_BRCTL_FANCY;-;X;-;-;
ENABLE_FEATURE_PREFER_IPV4_ADDRESS;-;X;-;-;
ENABLE_FEATURE_NAMEIF_EXTENDED;-;X;-;-;
ENABLE_NAMEIF;-;X;-;-;
ENABLE_FEATURE_CPIO_O;-;X;-;-;
ENABLE_CPIO;-;X;-;-;
ENABLE_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED;-;X;-;-;
ENABLE_FEATURE_SUID_CONFIG_QUIET;-;X;-;-;
ENABLE_FEATURE_DD_SIGNAL_HANDLING;-;X;-;-;
ENABLE_DEBUG_PESSIMIZE;-;X;-;-;
ENABLE_DEBUG;-;X;-;-;
ENABLE_WATCHDOG;-;X;-;-;
ENABLE_FEATURE_TAR_CREATE;-;X;-;-;
ENABLE_FEATURE_VI_COLON;-;X;-;-;
ENABLE_FEATURE_SHOW_THREADS;-;X;-;-;
ENABLE_FEATURE_HTTPD_BASIC_AUTH;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_LUKS;-;X;-;-;
ENABLE_MKDIR;-;X;-;-;
ENABLE_FEATURE_LOADFONT_RAW;-;X;-;-;
ENABLE_LOGIN_SCRIPTS;-;X;-;-;
ENABLE_FEATURE_VI_DOT_CMD;-;X;-;-;
ENABLE_FEATURE_TR_CLASSES;-;X;-;-;
ENABLE_BEEP;-;X;-;-;
ENABLE_HALT;-;X;X;-;
ENABLE_CP;-;X;-;-;
ENABLE_FEATURE_CP_LONG_OPTIONS;-;X;-;-;
ENABLE_UNEXPAND;-;X;-;-;
ENABLE_FEATURE_XARGS_SUPPORT_ZERO_TERM;-;X;-;-;
ENABLE_NC_EXTRA;-;X;-;-;
ENABLE_IFENSLAVE;-;X;-;-;
ENABLE_FEATURE_DF_FANCY;-;X;-;-;
ENABLE_FEATURE_LS_FILETYPES;-;X;-;-;
ENABLE_DEVFSD_FG_NP;-;X;-;-;
ENABLE_FEATURE_WGET_AUTHENTICATION;-;X;-;-;
ENABLE_FEATURE_INIT_SYSLOG;-;X;-;-;
ENABLE_FEATURE_INETD_RPC;-;X;-;-;
ENABLE_FEATURE_MODPROBE_SMALL_OPTIONS_ON_CMDLINE;-;X;-;-;
ENABLE_FEATURE_HTTPD_AUTH_MD5;-;X;-;-;
ENABLE_FEATURE_HWCLOCK_ADJTIME_FHS;-;X;-;-;
ENABLE_SHA1SUM;-;X;-;-;
ENABLE_MD5SUM;-;X;-;-;
ENABLE_SHA256SUM;-;X;-;-;
ENABLE_SHA512SUM;-;X;-;-;
ENABLE_FEATURE_MD5_SHA1_SUM_CHECK;-;X;-;-;
ENABLE_IPCS;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_SYSV;-;X;-;-;
ENABLE_FEATURE_MDEV_RENAME;-;X;-;-;
ENABLE_FEATURE_HTTPD_SETUID;-;X;-;-;
ENABLE_FEATURE_VI_YANKMARK;-;X;-;-;
ENABLE_UNIX2DOS;-;X;-;-;
ENABLE_DOS2UNIX;-;X;-;-;
ENABLE_SLEEP;-;X;-;-;
ENABLE_FEATURE_NOLOGIN;-;X;-;-;
ENABLE_FEATURE_LS_FOLLOWLINKS;-;X;-;-;
ENABLE_ASH_ALIAS;-;X;-;-;
ENABLE_FEATURE_CHAT_SWALLOW_OPTS;-;X;-;-;
ENABLE_FEATURE_UDHCP_RFC3397;-;X;-;-;
ENABLE_FEATURE_WC_LARGE;-;X;-;-;
ENABLE_WC;-;X;-;-;
ENABLE_HUSH_HELP;-;X;-;-;
ENABLE_MKFS_MINIX;-;X;-;-;
ENABLE_FEATURE_TELNET_TTYPE;-;X;-;-;
ENABLE_FEATURE_RESIZE_PRINT;-;X;-;-;
ENABLE_RESIZE;-;X;-;-;
ENABLE_ASH_JOB_CONTROL;-;X;-;-;
ENABLE_UNICODE_COMBINING_WCHARS;-;X;-;-;
ENABLE_HUSH_BASH_COMPAT;-;X;-;-;
ENABLE_FEATURE_USERNAME_COMPLETION;-;X;-;-;
ENABLE_FEATURE_NETSTAT_WIDE;-;X;-;-;
ENABLE_KLOGD;-;X;-;-;
ENABLE_FEATURE_KLOGD_KLOGCTL;-;X;-;-;
ENABLE_FEATURE_SWAPON_PRI;-;X;-;-;
ENABLE_VCONFIG;-;X;-;-;
ENABLE_FEATURE_INSTALLER;-;X;-;-;
ENABLE_ETHER_WAKE;-;X;-;-;
ENABLE_FEATURE_MOUNT_CIFS;-;X;-;-;
ENABLE_FEATURE_HEXDUMP_REVERSE;-;X;-;-;
ENABLE_USE_BB_PWD_GRP;-;X;-;-;
ENABLE_USE_BB_SHADOW;-;X;-;-;
ENABLE_FEATURE_IFCONFIG_SLIP;-;X;-;-;
ENABLE_FEATURE_LOADFONT_PSF2;-;X;-;-;
ENABLE_FEATURE_DPKG_DEB_EXTRACT_ONLY;-;X;-;-;
ENABLE_DPKG_DEB;-;X;-;-;
ENABLE_RUNCON;-;X;-;-;
ENABLE_FEATURE_CPIO_P;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_EXT;-;X;-;-;
ENABLE_FSCK_MINIX;-;X;-;-;
ENABLE_FEATURE_MINIX2;-;X;-;-;
ENABLE_FEATURE_DU_DEFAULT_BLOCKSIZE_1K;-;X;-;-;
ENABLE_FEATURE_ACPID_COMPAT;-;X;-;-;
ENABLE_ACPID;-;X;-;-;
ENABLE_FEATURE_FIND_PAREN;-;X;-;-;
ENABLE_KILLALL;-;X;-;-;
ENABLE_FDISK_SUPPORT_LARGE_DISKS;-;X;-;-;
ENABLE_FEATURE_FIND_NEWER;-;X;-;-;
ENABLE_FDFORMAT;-;X;-;-;
ENABLE_FEATURE_FIND_PRINT0;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_ISO9660;-;X;-;-;
ENABLE_FEATURE_INETD_SUPPORT_BUILTIN_TIME;-;X;-;-;
ENABLE_FEATURE_NETSTAT_PRG;-;X;-;-;
ENABLE_FEATURE_INIT_SCTTY;-;X;-;-;
ENABLE_ASH_GETOPTS;-;X;-;-;
ENABLE_FEATURE_SHADOWPASSWDS;-;X;-;-;
ENABLE_FEATURE_PS_WIDE;-;X;-;-;
ENABLE_ASH_CMDCMD;-;X;-;-;
ENABLE_FEATURE_FIND_XDEV;-;X;-;-;
ENABLE_FEATURE_ADDUSER_TO_GROUP;-;X;-;-;
ENABLE_FEATURE_TASKSET_FANCY;-;X;-;-;
ENABLE_TASKSET;-;X;-;-;
ENABLE_HUSH_MODE_X;-;X;-;-;
ENABLE_IPLINK;-;X;-;-;
ENABLE_LOADKMAP;-;X;-;-;
ENABLE_FEATURE_GREP_FGREP_ALIAS;-;X;-;-;
ENABLE_FEATURE_REFORMIME_COMPAT;-;X;-;-;
ENABLE_REFORMIME;-;X;-;-;
ENABLE_FEATURE_TUNCTL_UG;-;X;-;-;
ENABLE_FEATURE_POPMAILDIR_DELIVERY;-;X;-;-;
ENABLE_POPMAILDIR;-;X;-;-;
ENABLE_FEATURE_HTTPD_ERROR_PAGES;-;X;-;-;
ENABLE_FEATURE_TAR_UNAME_GNAME;-;X;-;-;
ENABLE_FEATURE_MDEV_RENAME_REGEXP;-;X;-;-;
ENABLE_FEATURE_MOUNT_NFS;-;X;-;-;
ENABLE_FEATURE_CHAT_NOFAIL;-;X;-;-;
ENABLE_FEATURE_TRACEROUTE_SOURCE_ROUTE;-;X;-;-;
ENABLE_HUSH_LOCAL;-;X;-;-;
ENABLE_FEATURE_FIND_TYPE;-;X;-;-;
ENABLE_FEATURE_LESS_REGEXP;-;X;-;-;
ENABLE_FEATURE_SECURETTY;-;X;-;-;
ENABLE_FEATURE_MTAB_SUPPORT;-;X;-;-;
ENABLE_FEATURE_IFCONFIG_STATUS;-;X;-;-;
ENABLE_HUSH_TICK;-;X;-;-;
ENABLE_FEATURE_UDHCP_PORT;-;X;-;-;
ENABLE_FEATURE_FIND_INUM;-;X;-;-;
ENABLE_FEATURE_COMPRESS_BBCONFIG;-;X;-;-;
ENABLE_BBCONFIG;-;X;-;-;
ENABLE_FEATURE_COMPRESS_USAGE;-;X;-;-;
ENABLE_FEATURE_FIND_NOT;-;X;-;-;
ENABLE_HUSH_CASE;-;X;-;-;
ENABLE_FEATURE_INETD_SUPPORT_BUILTIN_ECHO;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_JFS;-;X;-;-;
ENABLE_LOAD_POLICY;-;X;-;-;
ENABLE_FEATURE_MOUNT_FLAGS;-;X;-;-;
ENABLE_XZ;-;X;-;-;
ENABLE_UNXZ;-;X;-;-;
ENABLE_FEATURE_FIND_SIZE;-;X;-;-;
ENABLE_FEATURE_VI_SET;-;X;-;-;
ENABLE_HUSH_BRACE_EXPANSION;-;X;-;-;
ENABLE_FEATURE_KILL_REMOVED;-;X;-;-;
ENABLE_ZCIP;-;X;-;-;
ENABLE_FEATURE_WGET_TIMEOUT;-;X;-;-;
ENABLE_HUSH_EXPORT_N;-;X;-;-;
ENABLE_FEATURE_GREP_EGREP_ALIAS;-;X;-;-;
ENABLE_FEATURE_TAR_FROM;-;X;-;-;
ENABLE_FEATURE_PRESERVE_HARDLINKS;-;X;-;-;
ENABLE_FEATURE_FIND_MTIME;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_UDF;-;X;-;-;
ENABLE_FEATURE_GETOPT_LONG;-;X;-;-;
ENABLE_GETOPT;-;X;-;-;
ENABLE_FEATURE_PIDOF_OMIT;-;X;-;-;
ENABLE_FEATURE_MKSWAP_UUID;-;X;-;-;
ENABLE_MKSWAP;-;X;-;-;
ENABLE_NANDWRITE;-;X;-;-;
ENABLE_FEATURE_IP_RARE_PROTOCOLS;-;X;-;-;
